start time 0:hr:min:sec	end time 0:hr:min:sec	Annotations	Layer	Index
0	39.566803	Men singing	Notes	Unknown
47.568008	51.126929	2714 B1 and 2	Notes	Library of Congress
52.012698	60.836281	[Inaudible]	Notes	Inaudible
61.765079	179.16517	Women singing	Notes	Unknown
183.809161	339.382857	Man singing	Notes	Unknown
340.614718	343.305609	2715 A1 and 2	Notes	Library of Congress
346.813243	359.259138	[Inaudible]	Notes	Inaudible
358.887619	517.897868	Men singing	Notes	Unknown
523.563537	625.917098	Men singing	Notes	Unknown
637.155556	640.12771	2715 B1 and 2	Notes	Library of Congress
645.886259	685.360181	Instruments playing	Notes	Instruments
685.360181	696.784399	Man singing with instruments	Notes	Unknown
696.784399	770.809615	Instruments playing	Notes	Instruments
770.809615	781.583673	Man singing with instruments	Notes	Unknown
781.583673	789.478458	Instruments playing	Notes	Instruments
801.181315	824.772789	Instruments playing	Notes	Instruments
824.40127	836.940045	Man and woman singing with instruments	Notes	Unknown
836.940045	871.769977	Instruments playing	Notes	Instruments
871.769977	884.215873	Man and woman singing with instruments	Notes	Unknown
884.587392	929.912744	Instruments playing	Notes	Instruments
935.764172	938.179048	2716 A1 and 2	Notes	Library of Congress
943.101678	949.231746	[Inaudible]	Notes	Inaudible
949.231746	1078.520454	Women singing	Notes	Unknown
1085.022041	1085.834739	Alright.	Transcription	Herbert Halpert
1086.020499	1224.899048	Women singing	Notes	Unknown
1225.049824	1228.608745	2716 B1	Notes	Library of Congress
1231.53415	1232.805442	Alright. Let's play.	Transcription	Herbert Halpert
1232.805442	1404.249977	Women singing	Notes	Unknown
1407.770003	1411.773243	2717 A1, 2, and3	Notes	Library of Congress
1412.702041	1449.389569	Instruments playing	Notes	Instruments
1449.389569	1453.104762	Man singing with instruments	Notes	Unknown
1453.104762	1472.145125	Instruments playing	Notes	Instruments
1472.145125	1476.046077	Man singing with instruments	Notes	Unknown
1476.046077	1484.77678	Instruments playing	Notes	Instruments
1484.77678	1488.863492	Man singing with instruments	Notes	Unknown
1488.863492	1508.739773	Instruments playing	Notes	Instruments
1519.885351	1604.405986	Instruments playing	Notes	Instruments
1607.93542	1666.449705	Instruments playing	Notes	Instruments
1668.352414	1672.258546	2717 B1 and 2	Notes	Library of Congress
1678.570522	1679.36	Alright.	Transcription	Herbert Halpert
1680.938957	1865.119637	Man singing	Notes	Unknown
1871.156825	1969.052154	Man singing	Notes	Unknown
1972.857111	1976.854059	2718 A1 and 2	Notes	Library of Congress
1979.547574	1979.547574	Alright.	Transcription	Herbert Halpert
1980.383492	2139.207982	Woman singing with ukulele	Notes	Unknown
2147.938685	2149.401542	[inaudible] Now go.	Transcription	Herbert Halpert
2149.401542	2247.134331	Woman singing	Notes	Unknown
2256.529103	2260.174826	2718 B1, 2 and 3	Notes	Library of Congress
2262.041542	2273.23356	[Inaudible]	Notes	Inaudible
2273.697959	2432.708209	Woman singing	Notes	Unknown
2438.745397	2438.745397	Alright sing!	Transcription	Herbert Halpert
2440.324354	2487.507302	Children singing and clapping	Notes	Unknown
2490.463013	2492.329276	Go ahead. Sing it again.	Transcription	Herbert Halpert
2492.329276	2492.329276	Children singing and clapping	Notes	Unknown
2508	2508	[Distortion]	Notes	Distortion
2541.329533	2543.58641	2720 A1 and 2	Notes	Library of Congress
2565	2565	Men singing	Notes	Unknown
2673	2673	[Distortion]	Notes	Distortion
2720	2720	[Distortion]	Notes	Distortion
2725.959376	2727.738837	3135 A	Notes	Library of Congress
2729.474895	2729.474895	My name is Zora Neal Hurston. I was born in Eatonville, FLorida. I'm 35 years old. This song that I'm going to sing is a railroad song that I found on a railroad gang near Miami and was song to me by Max Ford.	Transcription	Zora Neale Hurston
2749.352767	2749.352767	How long ago was that?	Transcription	Herbert Halpert
2751.045425	2751.045425	That was in 1930.	Transcription	Zora Neale Hurston
2755.428973	2755.428973	How did you happen to be going around getting songs?	Transcription	Herbert Halpert
2757.859455	2757.859455	I was collecting folk material for Columbia University as part of the Barnard College, Columbia University.	Transcription	Zora Neale Hurston
2765.41131	2765.41131	What is the song called?	Transcription	Herbert Halpert
2766.756756	2766.756756	They call it Gonna see my long-haired babe and it's a railroad spiking song and the rhythm is kept with a spike and a hammer.	Transcription	Zora Neale Hurston
2776.912699	2776.912699	Will you try to emphasize, give me the approximate rhythm of the hammer with the stick by hitting it against that?	Transcription	Herbert Halpert
2782.207678	2782.207678	Yes, sir.	Transcription	Zora Neale Hurston
2787	2787	ZNH sings 'Gonna See My Long-Haired Babe'	Notes	Zora Neale Hurston
2883.072689	2883.072689	Let them hammers ring, boy.	Transcription	Zora Neale Hurston
2887.933653	2887.933653	I see you, you seem to be hitting down twice for a hammer. Why is that?	Transcription	Herbert Halpert
2894.357071	2894.357071	Uh, the men face each other with hammers and they call on each other; they're breasted, they stand breast to breast and one comes down and the other one comes down.	Transcription	Zora Neale Hurston
2902.950561	2902.950561	Immediately afterwards?	Transcription	Herbert Halpert
2903.688386	2903.688386	Yes, one comes down [strike, strike]	Transcription	Zora Neale Hurston
2906.596284	2906.596284	I see [strike, strike] and how long is that between the double strikes?	Transcription	Herbert Halpert
2912.325278	2912.325278	The minute that one goes down, the other is on the upstroke and comes right down behind it.	Transcription	Zora Neale Hurston
2916.318213	2916.318213	And who does the singing?	Transcription	Herbert Halpert
2917.70706	2917.70706	They sing in line. It's a man who doesn't work at all. And he walks up and down and gives the rhythm for the people to work.	Transcription	Zora Neale Hurston
2925.258916	2925.258916	Is this for a whole crew of men?	Transcription	Herbert Halpert
2926.908171	2926.908171	A whole crew of men singing this one time and the railroad has to pay the singing liner or else the men won't work.	Transcription	Zora Neale Hurston
2934.763837	2934.763837	What I'm asking you is if you hear that you only hear the one man singing on a whole section of track.	Transcription	Herbert Halpert
2940.536232	2940.536232	Not all the time, because different ones have verses they want to put in themselves and so they jump in and after they start the song but the singing liner always starts it.	Transcription	Zora Neale Hurston
2948.825912	2948.825912	Well now look, uh, the only thing is that you were giving a long piece of singing without the rhythm of the hammer and I want to know approximately how often that comes.	Transcription	Herbert Halpert
2958.374235	2958.374235	Well, they often do that and then after that they [distortion] get in there but they [distortion]	Transcription	Zora Neale Hurston
2968.139566	2968.139566	3135 B1 and 2	Notes	Library of Congress
2973.60815	2973.60815	[inaudible]	notes	Herbert Halpert
2977.297275	2977.297275	Uh, this song I got in Callahan, Florida, which is a railroad center in the northern part of Florida.	Transcription	Zora Neale Hurston
2986.107773	2986.107773	Inaudible.	Notes	Herbert Halpert
2988.104241	2988.104241	I got this in 1935. I don't remember the man's name who sung it to me but I got it at Callahan. It's a railroad camp.	Transcription	Zora Neale Hurston
2996.95814	2996.95814	What kind of song is it?	Transcription	Herbert Halpert
