0	11.079545	 In the jook houses and doing any kind of work at all, chopping wood and in the lumber camps and everywhere you find this song. No where you can't find parts of this song, 'Mule on the Mount'.	Transcription	Zora Neale Hurston
26:33:00	26:33:00	How do you want this?	Transcription	Zora Neale Hurston
27:44:00	27:44:00	[Distortion]	Notes	Distortion
28:44:00	28:44:00	[Distortion]	Notes	Distortion
28:57:00	28:57:00	Your name, age?	Transcription	Herbert Halpert
29:05:00	29:05:00	And where were you brought up?	Transcription	Herbert Halpert
29:06:00	29:06:00	I was born and raised in Jacksonville, studied voice in Chicago but never went to college.	Transcription	Evelyn Werner
29:16:00	29:16:00	Uh, huh, What do you mean 'voice'? Singing?	Transcription	Herbert Halpert
29:18:00	29:18:00	Yes.	Transcription	Evelyn Werner
29:19:00	29:19:00	Uh-huh, Alright. But you were brought up, most of your life, you spent right around here?	Transcription	Herbert Halpert
29:25:00	29:25:00	Well, as far as the life goes, yes but I'd go to Philadelphia for a while and come back and go to Chicago for a while and come back.	Transcription	Evelyn Werner
29:34:00	29:54:00	Alright, now you'll tell the story. Apparently the interest in the story is just to have you talk naturally and at the same time, we'll have the story. So, would you try --	Transcription	Herbert Halpert
29:44:00	29:44:00	Man: Go ahead.	Transcription	Unknown
29:45:00	29:45:00	Well, this story was told to me two years ago by one of the heirs to the Reed Plantation, Mulberry Grove, which is just south of Jacksonville. She said that right after the war when the slaves were freed she gave, she told Mariah the cook of her freedom and gave her the house at the end of the field to live in. So Mariah and all of her children set out and the youngest and the tiniest at the end of the line would fall down and get up, fall down again and get up.  So Mrs. Pearson called to Mariah and said, 'You're losing one of your children, Mariah'. And Mariah turned back and said, 'You can have that one, Miss. Pearson, if you wants it.' That's all.	Transcription	Evelyn Werner
32:19:00	32:19:00	[Distortion]	Notes	Distortion
32:25:00	32:25:00	Can you state your name, your age, and your occupation?	Transcription	Herbert Halpert
33:06:00	33:06:00	Now you have one, you have that holler, that uh?	Transcription	Herbert Halpert
33:11:00	33:11:00	Yes sir.	Transcription	H. W. Stuckey
33:12:00	33:12:00	What, would you explain something about how it was used and when or something like that?	Transcription	Herbert Halpert
33:17:00	33:17:00	Yes sir	Transcription	H. W. Stuckey
33:18:00	33:18:00	Go ahead. Tell me something about it.	Transcription	Herbert Halpert
35:06:00	35:06:00	Yes, yes. Just a minute.	Transcription	H. W. Stuckey
35:07:00	35:07:00	The one without the words.	Transcription	Zora Neale Hurston
35:12:00	35:12:00	OH, yes, yes. It was usually used in the afternoon mostly when the boys were knocking off work and going in to clean up or going out to call on their girls at night.	Transcription	H. W. Stuckey
35:22:00	35:22:00	How would it sound, suppose someone had just haerd it, what would they hear?	Transcription	Herbert Halpert
36:46:00	33:46:00	[Distortion]	Notes	Distortion
38:06:00	38:06:00	Will you sing that, will you repeat the point [inaudible]	Transcription	Herbert Halpert
38:09:00	38:09:00	Alright.	Transcription	H. W. Stuckey
38:52:00	38:52:00	Yes sir.	Transcription	H. W. Stuckey
38:53:00	38:53:00	What do they do on the song part, I mean.	Transcription	Herbert Halpert
38:55:00	38:55:00	They'd be dancing.	Transcription	H. W. Stuckey
38:56:00	38:56:00	They'd be dancing.	Transcription	Herbert Halpert
38:57:00	38:57:00	When they said do it the right, they'd be swinging their partners to the right and choosing, changing partners.	Transcription	H. W. Stuckey
39:01:00	39:01:00	I see. The last part was giving directions. The rest of the time they were dancing.	Transcription	Herbert Halpert
39:05:00	39:05:00	Yes sir	Transcription	H. W. Stuckey
39:06:00	39:06:00	What kind of dancing were they doing?	Transcription	Herbert Halpert
39:16:00	39:16:00	Go ahead.	Transcription	Herbert Halpert
42:37:00	42:37:00	You did? Well, woud you start in with?	Transcription	Herbert Halpert
45:47:00	45:47:00	[Laughter]	Notes	Unknown
46:43:00	46:43:00	[Distortion]	Notes	Distortion
48:16:00	48:16:00	Now, what kind of motion would they do?	Transcription	Herbert Halpert
48:18:00	48:18:00	Oh, shucks. There'd be motion of their feets. [Laughter]	Transcription	Alabama Singleton
48:25:00	48:25:00	Well, there was a man in Savannah Georgia used to sell watermelons and he would come through every morning early and we'd hear him sing.	Transcription	Alabama Singleton
49:40:00	49:50:00	Maggie Fulton	Transcription	Maggie Fulton
51:09:00	51:09:00	Now you'll have to talk a little bit louder now on the next game.	Transcription	Herbert Halpert
51:12:00	51:12:00	Alright	Transcription	Maggie Fulton
51:19:00	51:21:00	Just a little barnyard play	Transcription	Maggie Fulton
51:21:00	51:23:00	Alright. How does it go?	Transcription	Herbert Halpert
55:07:00	55:07:00	Yes, sir.	Transcription	Harold B. Hazelhurst
55:08:00	55:08:00	What would they sing it for?	Transcription	Herbert Halpert
56:05:00	56:05:00	Like that.	Transcription	Harold B. Hazelhurst
56:06:00	55:06:00	Yeah, that would be good.	Transcription	Herbert Halpert
11.079545	15.805785	Well, is it known, is it a consistent song as you hear it all over?	Transcription	Herbert Halpert
16.270661	24.405992	The tune is consistent but the verses, you know how things, in every locality you can find some new verses, everywhere.	Transcription	Zora Neale Hurston
23.863636	23.863636	I mean does it have the same choral verses? Does it have 'Mule on the Mount' wherever you hear it?	Transcription	Herbert Halpert
27.892562	33.703512	Well, there's some place that I haven't heard that same verse 'Mule on the Mount' but there's no place that I don't hear some of the same verses.	Transcription	Zora Neale Hurston
34.788223	38.119835	Where did you learn it this particular way?	Transcription	Herbert Halpert
